Type,Compound ID,Protein ID,Predicted Value,Original Value,Difference,Difference Sq
PREDICTION,CHEMBL214772,O00482,6.34043550491333,6.48,0.13956449508667,0.019478248288797
PREDICTION,CHEMBL217156,O00482,7.04033899307251,7.05,0.00966100692749,9.33350548530109E-05
PREDICTION,CHEMBL187392,O08537,7.57040119171143,8,0.429598808288574,0.184555136082963
PREDICTION,CHEMBL3137947,O35627,4.85773324966431,5.3,0.442266750335693,0.195599878452494
PREDICTION,CHEMBL3122144,O75469,6.55448389053345,5.72,-0.834483890533448,0.696363363559839
PREDICTION,CHEMBL458767,O75469,5.31087684631348,5.64,0.329123153686523,0.108322050292563
PREDICTION,CHEMBL2164224,O75469,5.4095950126648,5.67,0.260404987335205,0.067810757429048
PREDICTION,CHEMBL457977,O75469,5.60271501541138,5.62,0.017284984588623,0.000298770692229
PREDICTION,CHEMBL3953927,O75469,6.02745914459229,5.47,-0.557459144592285,0.310760697889563
PREDICTION,CHEMBL4239055,O75469,5.58723211288452,5.52,-0.067232112884522,0.004520157002917
PREDICTION,CHEMBL306764,O75469,6.35286903381348,8.62,2.26713096618652,5.13988281784184
PREDICTION,CHEMBL410683,O75469,8.17519092559814,5.58,-2.59519092559814,6.73501594030695
PREDICTION,CHEMBL4243271,O75469,5.18808078765869,4.68,-0.508080787658692,0.258146086787877
PREDICTION,CHEMBL2398716,O75469,4.9956955909729,5.62,0.6243044090271,0.389755995130676
PREDICTION,CHEMBL4095208,O75469,5.01526689529419,5.9,0.884733104705811,0.782752666562383
PREDICTION,CHEMBL4243206,O75469,4.93112802505493,6.54,1.60887197494507,2.58846903176364
PREDICTION,CHEMBL4249586,O75469,5.16480541229248,4.85,-0.314805412292481,0.099102447608639
PREDICTION,CHEMBL4217033,O95718,6.47053956985474,7.72,1.24946043014526,1.56115136649879
PREDICTION,CHEMBL2326073,O95718,6.51939344406128,7.51,0.990606555938721,0.981301348668773
PREDICTION,CHEMBL2326072,O95718,6.59292840957642,6.92,0.327071590423584,0.106975825262213
